Titulo;Autor - Apellido;Autor - Nombre;Genero;Editorial;Coleccion
La Energia;Moreno Gonzalez; Antonio;;Acento;
Dispara, yo ya estoy muerto;Navarro; Julia;;Debolsillo;
Averroes (48);Gonzalez Orozco;Ignacio;Filosofia;RBA;Comprender la Filosofia
La vida del Buscon;Quevedo;Francisco de;;;
Chile en la Hoguera. Cronica de la Represion Militar;Taufic; Camilo;;Corregidor;
Maese Perez, el organista;;;;;
El retrato de Dorian Gray;Wilde;oscar;Novela;Edimat Libros;Clasicos de siempre
La espia que vestia de rojo;Aline;Condesa de Romanones;;Ediciones B;
La sombra del cipres es alargada;Delibes; Miguel;;El Mundo;Las 100 mejores novelas
La falsa reliquia;Petry; Renata;Cuento;Planeta de Agostini;Novela historica de la Edad Media
Antologia de relatos espa�oles de piratas;Gonzalez de Vega; Gerardo;;Punto de lectura;
Perry Mason - El caso del gato del portero;Gardner; Erle Stanley;;Molino;
El abejorro y la lanza;;;;;
La clara luz de la muerte;Harding; Paul;;Planeta de Agostini;Novela historica de la Edad Media
El husar;Perez-Reverte; Arturo;;Akal;
Sobre heroes y tumbas - Volumen I;Sabato; Ernesto;;El Mundo;Las 100 mejores novelas
Marina;Ruiz Zafon; Carlos;;Booket;
Rascacielos;Stern; Richard Martin;;Circulo de Lectores;
El libro de la selva;Kipling; Rudyard;Novela juvenil;SM;Clasicos universales
Cien obras maestras de la pintura;Olivar; Marcial;;Salvat;Biblioteca basica
Con variado rumbo�;Diaz-Plaja;Guillermo;;Planeta;Autores Espa�oles Contemporaneos
La venta de los gatos;;;;;
Las ninfas;Umbral; Francisco;;El Mundo;Las 100 mejores novelas
Historia del Rey Transparente;Montero; Rosa;;Punto de lectura;
La Palabra por la Imagen;Gibert;Javier;Diccionario;Hymsa;
El Heptameron;Valois; Margarita de;;Circulo de Lectores;
Cultura y liberacion cristianas;Alcover;Norberto;Ensayo;Narcea;
Cuentos basados en el teatro de Shakespeare;Lamb; Charles y Mary;;Anaya;Tus libros
El castillo sobre la arena;Valtin; Jan;;Circulo de Lectores;
El medico a palos;;;;;
La morada de los cuervos;Harding; Paul;;Planeta de Agostini;Novela historica de la Edad Media
Putin, el elegido de Rusia;Sakwa; Richard;;ABC;Biografias Vivas
La herencia de Clara;Monereo; Chelete;;Raspabook;
EN09 - Juan Martin, el empecinado;Perez Galdos; Benito;;Alianza;Episodios Nacionales
El gnomo;;;;;
Perry Mason - El caso de la prometida celosa;Gardner; Erle Stanley;;Molino;
Yo, el supremo;Roa Bastos; Augusto;;El Mundo;Las 100 mejores novelas
No es elegante matar a una mujer descalza;Pozo; Raul del;;El Mundo;Las 100 mejores novelas
La peregrinacion de Santa Brigida;;;;;
La princesa y el guisante;;;;;
El se�or de los Bonsais;Vizcaino Casas; Fernando;;Temas de Hoy;Vidas ejemplares
Kazan, perro lobo;Curwood; James O.;Novela juvenil;Juventud;
Los fantasmas de Belfast;Neville; Stuart;;Plata negra;
El puente de Alcantara I;Baer; Frank;;Planeta de Agostini;Novela historica de la Edad Media
El Padrino;Puzo; Mario;;Grijalbo;
"El legado del templario (Trilogia):
1. Del Norte a Jerusalen
2. El caballero templario
3. Regreso al norte";Guillou; Jan;;Planeta;
No sin mi hija 2;Mahmoody; Betty;Novela;Planeta;
Mi dulce Audrina;Andrews;V.C.;Novela;Plaza&Janes;Jet
Las hadas;;;;;
Walter Benjamin (17);Marzan;Carlos;Filosofia;RBA;Comprender la Filosofia
Perry Mason - El caso de la fortuna fantasma;Gardner; Erle Stanley;;Molino;
Otras narraciones;;;;;
Historia de los musulmanes de Espa�a;Dozy; Reinhart P.;Historia;Turner;
Malasia;Fauconnier;Henri;;;
Pasion critica;Paz; Octavio;;Seix Barral;Biblioteca Breve
La Ciudad sin Tiempo;Moriel; Enrique;;Planeta;
La Habana para un infante difunto;Cabrera Infante; Guillermo;;El Mundo;Las 100 mejores novelas
La mariposa enjoyada;;;;;
Guias de la Naturaleza - Peces;Wheeler; Alwyne;;Juventud;
43 crimenes para resolver;Samoilovich; Daniel;;RBA;Bolsillo
La Biblioteca del Cartogrado;Fasman; Jon;;Circulo de Lectores;
El Lazarillo de Tormes;Anonimo;;;Rueda;Clasicos de la Literatura Espa�ola
La biblia perdida;Porter; J.R.;;Blume;
El tonel de amontillado;;;;;
Aladina y Palomides;;;;;
El laberinto de la rosa;Hardie; Titania;;Suma;
Nikon D7200;Foster; Jerod;;Anaya;Photo Club
El plasma de Quinton;Mahe; Andre;;Icaria;
Cinco horas con Mario;Delibes; Miguel;;El Mundo;Las 100 mejores novelas
El hombre que se gasto. Un relato de la reciente campa�a contra los Cocos y los Kickpoos;;;;;
Esperando a Godot;Beckett;Samuel;;Barral;
Salambo;Flaubert; Gustave;;Maucci;
Madre Teresa de Calcuta: mas alla de la imagen;Sebba; Anne;Biografia;ABC;Protagonistas de la historia
Perry Mason - El caso del loro perjuro;Gardner; Erle Stanley;;Molino;
La Tragedia de la Luna;Asimov;Isaac;;Alianza editorial;Biblioteca Fundamental de Nuestro Tiempo
Hijos de un rey Godo;Gudin; Maria;;Ediciones B;
El gatopardo;Lampedusa; Tomasi de;;Circulo de Lectores;
;Kolmogorov;A.N.;;;
El Silencio de la Ciudad Blanca;Garcia Saenz de Urturi; Eva;Novela;Planeta;Trilogia de la Ciudad Blanca 1
Merleau-Ponty (55);Morales Ca�avate;Emilio Gines;Filosofia;RBA;Comprender la Filosofia
Lester Leith - Como un pelicano;;;;;
El cuento mil y dos de Sherezade;;;;;
Sublime poema;;;;;
Rosa y Rosita;Alvarez Quintero; Serafin y Joaquin;;N/A;
Lisis;Platon;;Filosofia;Gredos;
Monna Vanna;;;;;
Cuentos de la alhambra;Irving; Washington;;Alianza;
Niebla;Unamuno;Miguel de;;RBA;Narrativa actual
Luces y Sombras;Garcia Gonzalez; Magdalena;;Ediciones de la Torre;
Un yanqui en la corte del rey Arturo;;;;;
El capitan alatriste;Perez-Reverte; Arturo;Novela;Alfaguara;
"La bien plantada
Las Oceanidas 1";D'Ors;Eugenio;;Planeta;Narrativa
El ni�o 44;Smith; Tom Rob;;Espasa;
La Maga;Canavan; Trudi;Novela;Debolsillo;
La se�ora Dalloway;Woolf; Virginia;;Millenium;
El Ingenioso hidalgo Don Quijote de la Mancha (II);Cervantes Saavedra; Miguel de;;ABC;IV Centenario
;Laurentiev;M.A.;;;
"Millennium 3
La reina en el palacio de las corrientes de aire";Larsson; Stieg;;Destino;
El misterio de Mari Roget;;;;;
Carlos V;Perez; Joseph;Biografia;ABC;Protagonistas de la historia
El consejo del jardinero;Blanchard; Ken;;Empresa activa;
Articulos de costumbres;Larra; Mariano Jose de;;Espasa Calpe;Austral
Contrapunto;;;;;
Poema del Mio Cid;Anonimo;;Poesia;Bruguera;
La casa del proposito especial;Boyne; John;;Salamandra;
Nadie deberia morir�;Slaughter; Frank G.;;Circulo de Lectores;
Perry Mason - El caso del anzuelo con cebo;Gardner; Erle Stanley;;Molino;
El principe feliz;Wilde; Oscar;Cuento;Espasa Calpe;Austral
La reina Faraon;Essex; Karen;;Booket;
El bosque de la larga espera;Haasse; Hella S.;;Planeta de Agostini;Novela historica de la Edad Media
La piedad peligrosa;Zweig; Stefan;;Hispano Americana;
Perry Mason - El caso del Complice Nervioso;Gardner; Erle Stanley;;Plaza&janes;Perry Mason
616, todo es infierno;Zurdo; David;;Debolsillo;Bestseller
Un lugar a donde ir;Oru�a;Maria;Novela;Booket;
Absolucion por asesinato;Tremayne; Peter;;Altaya;
Destino desconocido;Christie; Agatha;;Molino;
La cena secreta;Sierra; Javier;;Plaza&Janes;
El monte de las animas;;;;;
Keraban el testarudo;Verne;Julio;;Petronio;
Una avanzada del Progreso;Conrad; Joseph;;Alianza;Alianza Cien
Sonata de Invierno;;;;;
Mocedades;Ortega y Gasset; Jose;;Espasa Calpe;Austral
El Patra�uelo;Timoneda;Joan;;;
San Manuel, bueno y martir;Unamuno; Miguel de;;Alianza;
El criado viejo;;;;;
Cuentos de Himmerland;;;;;
Diez palabras clave para educar en valores;Diaz; Carlos;;Emmanuel Munier;Sinergia
El genero infimo;Alvarez Quintero; Serafin y Joaquin;;N/A;
Los dos Hidalgos de Verona;;;;;
Kierkegaard (19);Go�i;Carlos;Filosofia;RBA;Comprender la Filosofia
Hijos de Dune;Herbert;Frank;Novela juvenil;DeBolsillo;
"Narraciones extraordinarias:
La caida de la casa Usher
Los asesinatos de la Rue ""Morgue""
El escarabajo de oro
El corazon delator
El pozo y el pendulo
Silencio
El retrato oval
Manuscrito hallado en una botella
Metzengerstein
La carta robada
La esfinge de calavera
EL gato negro";Poe; Edgar Allan;;Salvat;Biblioteca basica
;Garcia Moriyon;Felix;;;
La Dama Duende;Calderon de la Barca;Pedro;Teatro;Ayuntamiento de Madrid;Educacion
El gran Gozo;Ferres; Antonio;;Planeta;Narrativa
Bendiceme, Ultima;Anaya; Rudolfo;;Warner Books;
El viejo y el mar;Hemingway; Ernest;;Circulo de Lectores;
La noria;Romero; Luis;;Circulo de Lectores;
El Rey Peste. Relato en el que hay una alegoria;;;;;
Giordano Bruno (50);Ponsati-Murla;Oriol;Filosofia;RBA;Comprender la Filosofia
La alianza de las sombras;Morrell; David;;Nano;
Limbo;Huxley; Aldous;;Planeta;
Notas de mi andar y andar;Bastos; Esperanza;;Morgana;
Cleopatra;Ludwig; Emil;Biografia;ABC;Protagonistas de la historia
Tigre Juan, el curandero de su honra;Perez de Ayala; Ramon;;El Mundo;Las 100 mejores novelas
La cabeza del cordero;Ayala;Francisco;;El Mundo;Las 100 mejores novelas
El secreto del peregrino;Harris; Peter;;Debolsillo;Bestseller
La proporcion aurea;Corbalan; Fernando;Divulgacion;RBA;El mundo es matematico
Adorno (40);Escuela Cruz;Chaxiraxi;Filosofia;RBA;Comprender la Filosofia
Legado en los huesos;Redondo; Dolores;Novela;Booket;Trilogia del Baztan
El ultimo Caton;Asensi; Matilde;;Booket;
El camelo del globo;;;;;
Donde fuimos invencibles;Oru�a;Maria;Novela;Booket;
La red purpura;Mola;Carmen;Novela;DeBolsillo;
Jerome, 60� latitud norte;Bedel;Maurice;;Plaza&Janes;Los premios Goncourt de Novela
Cometas en el cielo;Hosseini; Khaled;;Letras de bolsillo;
QB VII;Uris; Leon;;Circulo de Lectores;
El tio Petros y la conjetura de Goldbach;Doxiadis; Apostolos;;Punto de lectura;
El astillero;Onetti; Juan Carlos;;El Mundo;Las 100 mejores novelas
La tia fingida;;;;;
La joven de la perla;Chevalier; Tracy;;Punto de lectura;
;Martin;Esteban;;;
La se�orita de la Ferte;;;;;
Memorias politicas y de guerra, II;Aza�a;Manuel;;Grijalbo;Critica
La tabla de Flandes;Perez-Reverte; Arturo;;Debolsillo;Jet
Historiadores de Indias;Masia; Angeles;Ensayo;Bruguera;Libro clasico
El jinete polaco;Mu�oz Molina; Antonio;;El Mundo;Las 100 mejores novelas
Vida del Soldado Espa�ol;Castro; Miguel de;;Espasa Calpe;Austral
Robinson Crusoe;Defoe; Daniel;;Anaya;Tus libros
La caja oblonga;;;;;
El viaje de la vida;;;;;
Laberintos;Fernandez Santos;Jesus;Novela;Argos Vergara;
Foucault (28);Fontanet Fernandez;Joaquin;Filosofia;RBA;Comprender la Filosofia
Existencia y sentido;Parera Galmes; Bartolome;;Audecoa;
Torquemada en el purgatorio;;;;;
Lo que no te mata te hace mas fuerte;Lagercrantz; David;;Booket;Millenium 4
Si te dicen que cai;Marse; Juan;;El Mundo;Las 100 mejores novelas
Chistes de Madrile�os;Tapia Rodriguez; Javier;;Edicomunicacion S.A.;Coleccion Ideas
Montaigne (35);Badiola;Maria;Filosofia;RBA;Comprender la Filosofia
Arquetipos junguianos;Robertson; Robin;;Paidos;
Griselda;;;;;
Berkeley (41);Quintanilla Navarro;Ignacio;Filosofia;RBA;Comprender la Filosofia
El solitario;Cela;Camilo Jose;;Alfaguara;Mundo secreto
El beso de la mujer ara�a;Puig; Manuel;;El Mundo;Las 100 mejores novelas
El paraiso perdido;Milton; John;;Biblioteca nueva;Caliope
El Padre don Juan;;;;;
La insolacion;Laforet;Carmen;;Planeta;Autores Espa�oles e Hispanoamericanos
San Jorge y el dragon;;;;;
Fin de trayecto;Martinez Menchen; Antonio;;Alfaguara;
El trasgo;;;;;
Descartes (12);Arenas; Luis;Filosofia;RBA;Comprender la Filosofia
Don Quijote de la Mancha;Cervantes Saavedra; Miguel de;;Alfaguara;IV Centenario
Siete cuentos goticos;Dinesen; Isak;;Millenium;
La musica del silencio;Rothfuss; Patrick;Novela;Debolsillo;
La matematica: su contenido, metodo y significado - 1;Aleksandrov;A.D.;Divulgacion;Alianza;Universidad
;Robinson;Dana y Jim;;;
Rayo de luna;;;;;
Los zapatos rojos;;;;;
Ciego en Gaza;;;;;
Diccionario de Filosofia Abreviado;Ferrater Mora; Jose;;Edhasa;Pocket
La chica Einstein;Sington; Philip;;Alfaguara;
La telara�a;Tremayne; Peter;;Edhasa;
Dos patrias, tres mil destinos;Colomina Limonero; Inmaculada;;Cinca;Biblioteca de Historia social
Los Arboles mueren de pie;;;;;
Sonata de Estio;;;;;
La colera de Dios;Harding; Paul;;Planeta de Agostini;Novela historica de la Edad Media
El timo (Considerado como una de las ciencias Exactas);;;;;
El testamento de Dios;Levy;Bernard Henri;;Seleven;
El Mesias de Dune;Herbert;Frank;Novela juvenil;DeBolsillo;
Nuestra Se�ora de Paris;Hugo;Victor;;Epoca;
La Tierra prometida;Pontoppidan; Henrik;;Aguilar;Premios Nobel
Las variedades de la Experiencia Religiosa;James; William;;edl;
Los Thibault - 2;Martin du Gard; Roger;;Alianza;
El caballista numero seis;;;;;
El tema de nuestro tiempo;Ortega y Gasset; Jose;;Espasa Calpe;Austral
Todos los parques no son un paraiso;Roig; Antonio;;Planeta;Fabula
Parabola;;;;;
Industrias y andanzas de Alfanhui;Sanchez Ferlosio; Rafael;;El Mundo;Las 100 mejores novelas
Gorgias;Platon;;Filosofia;Gredos;
Como escribir un articulo a la manera del Blackwood;;;;;
El extranjero;Camus; Albert;Novela;Alianza;
La sorprendente aventura del Baron de Pradeyles;;;;;
Creed en Dios;;;;;
Adolfo Suarez;Abella; Carlos;Biografia;ABC;Biografias Vivas
El banquete;Bagnasco; Orazio;;Plaza&Janes;Jet
Mariona Rebull;Agusti; Ignacio;;El Mundo;Las 100 mejores novelas
Volaverunt;Larreta; Antonio;;El Mundo;Las 100 mejores novelas
Todo sobre el cerebro y la mente;Rodriguez de la Torre; M� Eugenia;;Planeta;
El oro de los sue�os;Merino; Jose Maria;;Alfaguara;
Doble imagen;Innes; Helen Mac;;Circulo de Lectores;
Poesias liricas;Espronceda;;;Espasa Calpe;Austral
El pendulo de Foucault;Eco; Umberto;;Debolsillo;Contemporanea
Fortunato;Alvarez Quintero; Serafin y Joaquin;;N/A;
;Ludeman;Kate;;;
El emperador o el ojo del ciclon;Porcel; Baltasar;;Planeta;Caja Madrid
La lucha por la vida III - Aurora Roja;Baroja; Pio;;El Mundo;Las 100 mejores novelas
Viento del Norte;Quiroga; Elena;;El Mundo;Las 100 mejores novelas
Wittgenstein (20);Lanza Gonzalez;Henar;Filosofia;RBA;Comprender la Filosofia
Petalos al viento;Andrews;V.C.;Novela;Plaza&Janes;Jet
Un virtuoso del hambre;;;;;
En silencio;Sch�tzing; Frank;;Planeta;
Bodas de sangre;Garcia Lorca; Federico;;Losada;
La casa de los espiritus;Allende; Isabel;Novela;El Mundo;Las 100 mejores novelas
El biombo lacado;Gulik; Robert van;;Edhasa;
Los mitos de Cthulhu (mas libros?);Lovecraft; H.P.;;Alianza;Biblioteca de fantasia y terror
"Teatro Selecto:
La Sirena Varada";Casona; Alejandro;Teatro;Escelicer;
La dama de Urtubi;;;;;
Eutifron;Platon;;Filosofia;Gredos;
La visigoda;San Sebastian; Isabel;;La esfera de los libros;Novela Historica
Poemas satiricos;Quevedo;Francisco de;;Ediciones 29;Grandes autores
Historias e Invenciones de Felix Muriel;Dieste; Rafael;;Iberia;Libros de A Bordo
Cambio de piel;Fuentes; Carlos;;El Mundo;Las 100 mejores novelas
Stuart Mill (37);Alcoberro Pericay;Ramon;Filosofia;RBA;Comprender la Filosofia
Chiquita y Bonita;Alvarez Quintero; Serafin y Joaquin;;N/A;
El Universo (I);Asimov;Isaac;;Alianza editorial;Biblioteca Fundamental de Nuestro Tiempo
Don Juan Tenorio;Zorrilla; Jose;;Catedra;Letras Hispanicas
La Biblia de barro;Navarro; Julia;;Debolsillo;Bestseller
Conversacion en La Catedral - Volumen I;Vargas Llosa; Mario;;El Mundo;Las 100 mejores novelas
El pobre Heinrich;;;;;
Popper (36);Ostale Garcia;Julio;Filosofia;RBA;Comprender la Filosofia
�Y Pippa baila!;;;;;
El lobo y la corona;Attanasio; A.A.;;Apostrofe;
A.M.D.G.;Perez de Ayala; Ramon;;El Mundo;Las 100 mejores novelas
Nunca apuestes tu cabeza al diablo. Cuento con moraleja;;;;;
Disraeli;Maurois; Andre;;Manuel Aguilar;
Polvorilla, el corneta;;;;;
Cronica sentimental en rojo;Gonzalez Ledesma; Francisco;;Planeta;
Therese Raquin;Zola; Emile;;Circulo de Lectores;
La sociedad gaseosa;Royo; Alberto;;Plataforma actual;
Historia de la vida del Buscon, llamado Don Pablos;Quevedo;Francisco de;;Rueda;Clasicos de la Literatura Espa�ola
La visita del Principe;;;;;
El temor de un hombre sabio;Rothfuss; Patrick;Novela;Debolsillo;
La Condesa;Johns; Rebecca;;Ediciones B;
La conquista de la felicidad;Rusell; Bertrand;;Espasa Calpe;Austral
El sue�o del celta;Vargas Llosa; Mario;;Alfaguara;
Cristobal Colon;Fernandez-Armesto; Felipe;Biografia;ABC;Protagonistas de la historia
La caida de los gigantes;Follet; Ken;;Plaza&Janes;
El vagabundo pasa de largo;Romero; Emilio;;Planeta;
La rosa de pasion;;;;;
Torquemada y san Pedro;;;;;
Perry Mason - El caso del tartamudo;Gardner; Erle Stanley;;Molino;
Todos somos culpables;Eaubonne; Francoise d';;Circulo de Lectores;
La luz de Shambala;Peinkofer; Michael;;Debolsillo;
El extra�o caso del Dr. Jekyll y Mr. Hyde;Stevenson; Robert Louis;;Byblos;
La Piedra de Fuego;Cooper; Glenn;;Debolsillo;
El clan del oso cavernario;Auel; Jean M.;Novela;El Pais;Novela Historica
Maese Perez, el organista;;;;;
La venta;;;;;
La familia Cats;Dinesen; Isak;;Plaza&Janes;Relatos
Do�a Clarines;Alvarez Quintero; Serafin y Joaquin;;N/A;
El caballero del Jabali blanco;Esparza; Jose Javier;;La esfera de los libros;Novela historica
"Dialogos:
Fedon, o de la inmortalidad del alma";Platon;;;Espasa Calpe;Austral
Sonata de invierno;;;;;
La Cruz del diablo;;;;;
Los gozos y las sombras II - Donde da la vuelta el aire;Torrente Ballester; Gonzalo;Novela;El Mundo;Las 100 mejores novelas
Perry Mason - El caso de la bella pordiosera;Gardner; Erle Stanley;;Molino;
"Juego de Tronos
Cancion de Hielo y Fuego 1";Martin; George R.R.;Novela juvenil;Gigamesh;Ficcion
La princesa Malena;Maeterlink;Maurice;Teatro;Aguilar;Premios Nobel
Como librarse de los hijos antes de que sea demasiado tarde;Campos; Maria Teresa;Ensayo;Temas de Hoy;El papagayo
Maquiavelo (8);Jaen; Marcos;Filosofia;RBA;Comprender la Filosofia
El hombre que hace reir;Alvarez Quintero; Serafin y Joaquin;;N/A;
El viaje a ninguna parte;Fernan-Gomez; Fernando;;El Mundo;Las 100 mejores novelas
angeles y Demonios;Brown; Dan;;Booket;
"El asceta
El Rey y la Reina";Tagore; Rabindranath;;PPP;
Ebano;Kapuscinski; Ryszard;;Plaza&Janes;El Arca de Papel
El si de las ni�as;Fernandez de Moratin; leandro;;Catedra;Letras Hispanicas
Una pena en observacion;Lewis;Clive S.;;Anagrama;Panorama de narrativas
Seneca (7);Moreno; Jaime;Filosofia;RBA;Comprender la Filosofia
El teorema del loro;Guedj; Denis;;Anagrama;Panorama de Narrativas
Nosotros somos una parte de la Tierra;;;Ensayo;Hesperus;
Los ciegos;;;;;
La cruz de San Andres;Cela;Camilo Jose;Novela;Planeta;
"En busca del tiempo perdido
1. Por el camino de Swann";Proust; Marcel;;Alianza;
El casamiento enga�oso;;;;;
El secreto de la reina persa;Bendahan; Esther;;La esfera de los libros;Novela historica
Antologia de la lirica gallega;Las Casas; Alvaro de;;Ibero-Americana de publicaciones;
La Templanza;Due�as; Maria;;Booket;
La tia Tula;Unamuno; Miguel de;;Salvat;Biblioteca basica
Hobbes (33);Gonzalez Orozco;Ignacio;Filosofia;RBA;Comprender la Filosofia
"El renacimiento espa�ol y
el siglo XIII";Fuertes Montalban; Juan;;Alhambra;
EL primer a�o de vida del ni�o;Spitz; Rene A.;;Aguilar;
Cumbres Borrascosas;Bront�; Emily;;Circulo de Lectores;
La gallina ciega;Aub; Max;;Alba;
Papel mojado;Millas; Juan Jose;;Anaya;Tus libros
La metamorfosis;Kafka; Franz;;Edaf;
El coloquio de los perros;;;;;
Anuario de lo insolito;Garcia Blanco; Javier;Parapsicologia;A�o cero;
"Un historia molesta:
Corazon debil";Dostoiewski; Fedor;;Espasa Calpe;Austral
El Buscon;Quevedo; Francisco de;;Espasa Calpe;Clasicos castellanos
Don Quijote de la Mancha (version adaptada);Cervantes Saavedra; Miguel de;;Vicens Vives;Clasicos adaptados
El Patriota;Buck; Pearl S.;;Planeta;
Los asesinos de la campana china;Gulik; Robert van;;Edhasa;
Los numeros primos;Gracian; Enrique;Divulgacion;RBA;El mundo es matematico
Las cuatro Plumas;Mason; Alfred Edward Woodley;;Circulo de Lectores;
La cruzada de los ni�os;Berling; Peter;;Debolsillo;Bestseller
Cipion y Berganza;;;;;
Michael Kramer;;;;;
El hijo del arabe;Hull;E. M.;;Epoca;
Carta a Juan soldado;Alvarez Quintero; Serafin y Joaquin;;N/A;
Los buscadores de conchas;Pilcher; Rosamunde;;Plaza&Janes;
Los Tejedores;Hauptmann; Gerhart;Teatro;Aguilar;Premios Nobel
Los anteojos;;;;;
Ortega y Gasset (46);Monfort Prades;Juan Manuel;Filosofia;RBA;Comprender la Filosofia
Los deseos ridiculos;;;;;
Antologia poetica;Machado;Antonio;Poesia;Agrupacion Nacional del Comercio del libro;
Jesus de Nazaret: Historia de Cristo;Papini; Giovanni;Biografia;ABC;Protagonistas de la historia
Voltaire (6);Ratto; Adrian;Filosofia;RBA;Comprender la Filosofia
La condena;;;;;
Esta bien asi;Mu�oz;Benito;Novela;Libros.com;
Vamonos;;;;;
Cafe de artistas;Cela; Camilo Jose;;Salvat;Biblioteca basica
Perry Mason - El caso de la chica vacilante;Gardner; Erle Stanley;;Molino;
Se�ora ama;Benavente; Jacinto;;Espasa Calpe;Austral
La copista del rey Alfonso;Guiladi; Yael;;Planeta de Agostini;Novela historica de la Edad Media
Vuelva Usted ma�ana y otros articulos;Larra; Mariano Jose de;;Salvat;Biblioteca basica
Griselda;;;;;
Los duendes de Sevilla;Alvarez Quintero; Serafin y Joaquin;;N/A;
Conocimiento sexual de la mujer;Lamare; Noel;;Fontanella;Sexualidad y educacion
El tesoro de los Nazareos;Tristante; Jeronimo;;Roca;
Tartufo;Moliere;;;Vicens Vives;Clasicos Universales
Juan Carlos, el rey de un pueblo (Vol. II);Preston; Paul;;ABC;Biografias Vivas
Los ultimos nazis;Biddiscombe; Perry;;Books4pocket;
La isla del Tesoro;Stevenson; Robert Louis;Novela juvenil;El Pais;Aventuras
Como se hace una novela;;;;;
Mi vida - Autobiografia;Ratzinger;Joseph;;ABC;
Cajal, historia de un hombre;Loren; Santiago;;Circulo de Lectores;
Secretos de otros tiempos;Prabhlpada;;;Bhaktivedanta;
Troya;Haefs;Gisbert;Novela Historica;Planeta de Agostini;ultimos exitos de la Novela Historica
Los crimenes de la calle Morgue;Poe; Edgar Allan;;Alianza;Alianza Cien
Las carceles del alma;Zilahy; Lajos;;Circulo de Lectores;
La mujer de luto;;;;;
La rebelion de atlas;Rand; Ayn;;Grito Sagrado;
Real Monasterio de Ca�as;Abad Leon; Felipe;Guia;N/A;
Perry Mason - El caso de la camarera preocupada;Gardner; Erle Stanley;;Molino;
Grandes poetas de Hispanoamerica;Jimenez; Jose Olivio;Poesia;Salvat;
Sotavento;Berenguer;Luis;Novela;Alfaguara;
El pozo y el pendulo;;;;;
Imperiofobia y Leyenda negra;Roca Barea; Maria Elvira;Ensayo;Siruela;Biblioteca de Ensayo 87
Museos de Madrid;;;Enciclopedia;ABC;
Una comision bogatoria;;;;;
Kant (3);Arroyo Garcia Jaen; Francisco Manuel Marcos;Filosofia;RBA;Comprender la Filosofia
El poder de las palabras;;;;;
La ciudad de los prodigios;Mendoza; Eduardo;;El Mundo;Las 100 mejores novelas
El dia que se perdio el amor;Castillo;Javier;Novela;DeBolsillo;
Las ratas;;;;;
La Sonrisa de la Gioconda;Racionero; Luis;;Planeta de Agostini;Los grandes autores de la Narrativa Espa�ola Actual
El Candidato;Bucay; Jorge;;DeBolsillo;
Elizabide el Vagabundo;;;;;
El joven rey;Wilde; Oscar;Cuento;Espasa Calpe;Austral
Entre visillos;Martin Gaite; Carmen;;El Mundo;Las 100 mejores novelas
Duermen bajo las aguas;Kurtz; Carmen;;Circulo de Lectores;
El elegido;Mann; Thomas;;Planeta de Agostini;Novela historica de la Edad Media
El fantasma de Canterville;Wilde; Oscar;;Alianza;Alianza Cien
Ficciones;Borges; Jorge Luis;;El mundo;
Juana de Arco (II);Marcantel; Pamela;;Planeta de Agostini;Novela historica de la Edad Media
Constitucion Espa�ola;;;;ABC;
Interior;;;;;
El Gran Lord;Canavan; Trudi;Novela;Debolsillo;Cronicas del Mago Negro III
Garcia Marquez, El viaje a la semilla;Saldivar; Dasso;;ABC;Biografias Vivas
;Lapierre; Dominique;;;
La mujer, el amor y el poder;Diaz-Plaja;Fernando;Novela;Noguer;Biblioteca Contemporanea
Viento del este, viento del oeste;Buck; Pearl S.;;Circulo de Lectores;
Perry Mason - El caso del reloj enterrado;Gardner; Erle Stanley;;Molino;
El cumplea�os de la infanta;Wilde; Oscar;Cuento;Espasa Calpe;Austral
Un sexo llamado debil;Martin Vigil; Jose Luis;;Richard Grandio;
Sobre heroes y tumbas - Volumen II;Sabato; Ernesto;;El Mundo;Las 100 mejores novelas
"Vida de Sancto Domingo de Silos y
Vida de Sancta Oria, virgen";Berceo; Gonzalo de;;Espasa Calpe;Austral
Tormento;Perez Galdos; Benito;;Alianza;
La mala sombra;Alvarez Quintero; Serafin y Joaquin;;N/A;
Perry Mason - El caso de la cleptomana;Gardner; Erle Stanley;;Molino;
Rinconete y Cortadillo;;;;;
El don de los deseos;Riley; Judith Merkle;;Booket;
El pozo de Jacob;;;;;
EN01 - Trafalgar;Perez Galdos; Benito;;Salvat;Biblioteca basica
A la sombra de las muchachas en flor;Proust;Marcel;;;
Un experto del trapecio;;;;;
� Y los 40 ladrones;Vizcaino Casas; Fernando;;Planeta;Fabula
Dioses y heroes griegos;Carmona; Blas;;Labor;Bolsillo juvenil
Fichte (49);Rivera de Rosales Chacon;Jacinto;Filosofia;RBA;Comprender la Filosofia
Hombres en su siglo;Paz; Octavio;;Biblioteca de bolsillo;
La galeria del ruise�or;Harding; Paul;;Planeta de Agostini;Novela historica de la Edad Media
Perry Mason - El caso de los dados falsos;Gardner; Erle Stanley;;Molino;
Los Cipreses creen en Dios - Volumen I;Gironella; Jose Maria;Novela;El Mundo;Las 100 mejores novelas
"El Se�or de los Anillos
I. La comunidad del anillo";Tolkien; J.R.R.;Novela juvenil;Minotauro;
El Dalai Lama, una biografia;Cronin Marcello; Patricia;;ABC;Biografias Vivas
La dama del velo;Harwood; John;;books4pocket;
La matematica: su contenido, metodo y significado - 2;Aleksandrov;A.D.;Divulgacion;Alianza;Universidad
